ID,RULES,SEVERITY,STATUS,EFFORT,INTRO HASH,INTRO NAME,INTRO DATE,FIXED DATE,FIXED NAME,FIXED HASH
53,Lines should not end with trailing whitespaces,MINOR,CLOSED,1,7194029a,Bolke de Bruin,2015/9/20,2015/10/25,Bolke de Bruin,fb53107a
380,Unused import,MINOR,CLOSED,1,7194029a,Bolke de Bruin,2015/9/20,2015/10/25,Bolke de Bruin,fb53107a
380,Unused import,MINOR,CLOSED,1,7194029a,Bolke de Bruin,2015/9/20,2015/10/25,Bolke de Bruin,fb53107a
380,Unused import,MINOR,CLOSED,1,7194029a,Bolke de Bruin,2015/9/20,2015/10/25,Bolke de Bruin,fb53107a
276,Access of nonexistent member,MAJOR,CLOSED,10,7194029a,Bolke de Bruin,2015/9/20,2015/10/25,Bolke de Bruin,fb53107a
53,Lines should not end with trailing whitespaces,MINOR,CLOSED,1,7194029a,Bolke de Bruin,2015/9/20,2015/10/25,Bolke de Bruin,fb53107a
53,Lines should not end with trailing whitespaces,MINOR,CLOSED,1,7194029a,Bolke de Bruin,2015/9/20,2015/10/25,Bolke de Bruin,fb53107a
53,Lines should not end with trailing whitespaces,MINOR,CLOSED,1,7194029a,Bolke de Bruin,2015/9/20,2015/10/25,Bolke de Bruin,fb53107a
53,Lines should not end with trailing whitespaces,MINOR,CLOSED,1,7194029a,Bolke de Bruin,2015/9/20,2015/10/25,Bolke de Bruin,fb53107a
53,Lines should not end with trailing whitespaces,MINOR,CLOSED,1,7194029a,Bolke de Bruin,2015/9/20,2015/10/25,Bolke de Bruin,fb53107a
53,Lines should not end with trailing whitespaces,MINOR,CLOSED,1,7194029a,Bolke de Bruin,2015/9/20,2015/10/25,Bolke de Bruin,fb53107a
53,Lines should not end with trailing whitespaces,MINOR,CLOSED,1,7194029a,Bolke de Bruin,2015/9/20,2015/10/25,Bolke de Bruin,fb53107a
53,Lines should not end with trailing whitespaces,MINOR,CLOSED,1,7194029a,Bolke de Bruin,2015/9/20,2015/10/25,Bolke de Bruin,fb53107a
53,Lines should not end with trailing whitespaces,MINOR,CLOSED,1,7194029a,Bolke de Bruin,2015/9/20,2015/10/25,Bolke de Bruin,fb53107a
4,Parentheses should not be used after certain keywords,MINOR,CLOSED,1,7194029a,Bolke de Bruin,2015/9/20,2015/10/25,Bolke de Bruin,fb53107a
4,Parentheses should not be used after certain keywords,MINOR,CLOSED,1,7194029a,Bolke de Bruin,2015/9/20,2015/10/25,Bolke de Bruin,fb53107a
386,Bad continuation,MINOR,CLOSED,5,7194029a,Bolke de Bruin,2015/9/20,2015/10/25,Bolke de Bruin,fb53107a
386,Bad continuation,MINOR,CLOSED,5,7194029a,Bolke de Bruin,2015/9/20,2015/10/25,Bolke de Bruin,fb53107a
386,Bad continuation,MINOR,CLOSED,5,7194029a,Bolke de Bruin,2015/9/20,2015/10/25,Bolke de Bruin,fb53107a
386,Bad continuation,MINOR,CLOSED,5,7194029a,Bolke de Bruin,2015/9/20,2015/10/25,Bolke de Bruin,fb53107a
386,Bad continuation,MINOR,CLOSED,5,7194029a,Bolke de Bruin,2015/9/20,2015/10/25,Bolke de Bruin,fb53107a
386,Bad continuation,MINOR,CLOSED,5,7194029a,Bolke de Bruin,2015/9/20,2015/10/25,Bolke de Bruin,fb53107a
386,Bad continuation,MINOR,CLOSED,5,7194029a,Bolke de Bruin,2015/9/20,2015/10/25,Bolke de Bruin,fb53107a
386,Bad continuation,MINOR,CLOSED,5,7194029a,Bolke de Bruin,2015/9/20,2015/10/25,Bolke de Bruin,fb53107a
24,"Control flow statements ""if"", ""for"", ""while"", ""try"" and ""with"" should not be nested too deeply",CRITICAL,CLOSED,10,7194029a,Bolke de Bruin,2015/9/20,2015/11/7,Bolke de Bruin,b4b04cd0
380,Unused import,MINOR,CLOSED,1,7194029a,Bolke de Bruin,2015/9/20,2015/11/7,Bolke de Bruin,b4b04cd0
276,Access of nonexistent member,MAJOR,CLOSED,10,fb53107a,Bolke de Bruin,2015/10/25,2015/11/7,Bolke de Bruin,b4b04cd0
386,Bad continuation,MINOR,CLOSED,5,fb53107a,Bolke de Bruin,2015/10/25,2015/11/7,Bolke de Bruin,b4b04cd0
381,Unused variable,MINOR,CLOSED,5,fb53107a,Bolke de Bruin,2015/10/25,2015/11/7,Bolke de Bruin,b4b04cd0
380,Unused import,MINOR,CLOSED,1,fb53107a,Bolke de Bruin,2015/10/25,2015/11/7,Bolke de Bruin,b4b04cd0
40,Functions should not contain too many return statements,MAJOR,CLOSED,20,fb53107a,Bolke de Bruin,2015/10/25,2015/11/7,Bolke de Bruin,b4b04cd0
